action_taken,All,,,,,,action_taken,All
,,,,,,,,
Count of loan_amount,Column Labels,,,,,,Income ($1k),Count of income
Row Labels,Cash-out refinancing,Home improvement,Home purchase,Other purpose,Refinancing,,$80.00,845
,,,,,,,"$1,009.00",1
,,,,,,,"$2,389.00",1
,,,,,,,"$1,017.00",1
,,,,,,,"$2,810.00",1
,,,,,,,"$1,018.00",1
,,,,,,,"$3,088.00",1
,,,,,,,"$1,020.00",1
,,,,,,,"$1,318.00",1
,,,,,,,$902.00,1
,,,,,,,"$1,342.00",1
,,,,,,,"$1,027.00",1
,,,,,,,"$1,369.00",1
,,,,,,,"$1,031.00",1
,,,,,,,"$1,404.00",1
,,,,,,,$933.00,1
,,,,,,,"$1,422.00",1
,,,,,,,"$1,035.00",1
,,,,,,,"$1,436.00",1
,,,,,,,"$1,037.00",1
,,,,,,,"$1,468.00",1
